"Designator","Mid X","Mid Y","Layer","Rotation"
"U11","96.75mm","-98.5mm","top","90.0"
"U10","104.25mm","-98.5mm","top","90.0"
"U9","88mm","-122mm","top","0.0"
"U7","100.5mm","-98.5mm","top","90.0"
"U6","108mm","-98.5mm","top","90.0"
"U5","156mm","-44.75mm","top","270.0"
"U2","160.75mm","-44.75mm","top","270.0"
"J15","156.060mm","-61.500mm","top","0.0"
"D2","210.343mm","-38.25mm","top","180.0"
"R16","184.75mm","-108.75mm","top","90.0"
"BT1","81.5mm","-50mm","top","90.0"
"J5","189.3824mm","-116.5352mm","top","0.0"
"J22","116.332mm","-116.332mm","top","0.0"
"SW1","208.25mm","-52.25mm","top","0.0"
"U1","194.564mm","-74.676mm","top","-90.0"
"R15","187.25mm","-108.75mm","top","90.0"
"J10","99.06mm","-116.2304mm","top","0.0"
"J14","178.562mm","-116.332mm","top","0.0"
"J23","145.288mm","-116.332mm","top","0.0"
"R13","128.524mm","-108.712mm","top","90.0"
"R14","130.81mm","-108.712mm","top","90.0"
"R24","162.993mm","-111.3375mm","top","90.0"
"R22","157.913mm","-111.3375mm","top","90.0"
"Q3","158mm","-97mm","top","90.0"
"R21","155.5mm","-111.3375mm","top","90.0"
"R9","119.38mm","-108.712mm","top","90.0"
"R20","152.96mm","-111.3375mm","top","90.0"
"R11","123.952mm","-108.712mm","top","90.0"
"R19","150.42mm","-111.3375mm","top","90.0"
"R12","126.238mm","-108.712mm","top","90.0"
"R23","160.453mm","-111.3375mm","top","90.0"
"U8","141.75mm","-92.5mm","top","270.0"
"R10","121.666mm","-108.712mm","top","90.0"
"U4","122mm","-80.75mm","top","0.0"
"R31","205.0875mm","-38.25mm","top","0.0"
"J1","71.12mm","-95.25mm","top","0.0"
"J2","71.12mm","-105.41mm","top","0.0"
"J3","71.12mm","-115.93mm","top","0.0"
"R2","137.75mm","-80.92mm","top","180.0"
"R18","137.75mm","-78.75mm","top","180.0"
"R27","137.75mm","-76.5mm","top","180.0"
"J12","178.054mm","-104.394mm","top","180.0"
"JP1","142.75mm","-75.5mm","top","180.0"
"JP2","142.75mm","-78.25mm","top","180.0"
"JP3","142.75mm","-81mm","top","180.0"
"R25","201mm","-60.75mm","top","180.0"
"C21","202.5mm","-58.75mm","top","0.0"
"J4","95mm","-105.5mm","top","0.0"
"C23","194.75mm","-59.25mm","top","-90.0"
"C22","197.25mm","-61.25mm","top","-90.0"
"R36","92.5mm","-88.25mm","top","0.0"
"C7","123.375mm","-67.375mm","top","-90.0"
"Q1","158.25mm","-37.2mm","top","180.0"
"R35","123.75mm","-71.75mm","top","-90.0"
"D3","164.6875mm","-37.2mm","top","0.0"
"J7","186.79mm","-42.4975mm","top","-90.0"
"C14","117.975mm","-46.75mm","top","0.0"
"C26","114.875mm","-61.375mm","top","90.0"
"F1","63.75mm","-82mm","top","0.0"
"C16","122.25mm","-29.75mm","top","180.0"
"R7","157.4375mm","-40.8mm","top","90.0"
"Q2","160.5mm","-40.8mm","top","180.0"
"SW2","208.25mm","-106.75mm","top","0.0"
"R32","92.5mm","-82.5mm","top","180.0"
"C11","108.25mm","-29.75mm","top","0.0"
"Q7","86.75mm","-85.25mm","top","90.0"
"J6","55.1075mm","-61.0175mm","top","-90.0"
"R37","122.25mm","-46.75mm","top","0.0"
"F2","63.75mm","-76.5mm","top","0.0"
"F3","63.75mm","-65.25mm","top","0.0"
"F4","63.75mm","-70.75mm","top","0.0"
"R41","86.75mm","-88.25mm","top","180.0"
"C18","130.875mm","-50.625mm","top","180.0"
"L4","143.75mm","-38mm","top","90.0"
"R5","159.5mm","-48.8mm","top","0.0"
"R45","128.25mm","-69mm","top","90.0"
"C29","105.875mm","-53.625mm","top","180.0"
"C4","127.375mm","-57.875mm","top","90.0"
"C17","129mm","-29.75mm","top","0.0"
"J9","114mm","-26mm","top","0.0"
"C30","138.625mm","-53.625mm","top","0.0"
"C27","114.875mm","-64.625mm","top","90.0"
"C6","106mm","-62.375mm","top","90.0"
"R42","130.125mm","-53.45mm","top","-90.0"
"C24","111.25mm","-58.5mm","top","-90.0"
"J13","169.25mm","-116.25mm","top","0.0"
"R40","205.09mm","-43.25mm","top","0.0"
"R3","167.5mm","-37mm","top","90.0"
"FB1","116.125mm","-51.875mm","top","-90.0"
"Q4","92.5mm","-85.4375mm","top","90.0"
"C5","121mm","-67.375mm","top","-90.0"
"R33","179.25mm","-85.25mm","top","-90.0"
"R1","75.75mm","-90.75mm","top","0.0"
"U3","121.1875mm","-59.4375mm","top","270.0"
"R26","176.5mm","-85.25mm","top","-90.0"
"R34","182mm","-85.25mm","top","-90.0"
"C10","114.875mm","-57.75mm","top","-90.0"
"J11","134.5mm","-25.975mm","top","0.0"
"C28","111.125mm","-62.9mm","top","90.0"
"C3","131.125mm","-57.875mm","top","0.0"
"R39","127.575mm","-46.75mm","top","180.0"
"R4","155.1875mm","-37.2mm","top","90.0"
"R29","117.75mm","-68.75mm","top","180.0"
"R38","86.75mm","-82.25mm","top","180.0"
"C8","109.5mm","-62mm","top","90.0"
"R30","122mm","-71.75mm","top","90.0"
"D4","210.5mm","-43.205mm","top","180.0"
"C15","131mm","-46.75mm","top","180.0"
"R43","116.625mm","-64.625mm","top","90.0"
"C1","115.625mm","-55.375mm","top","180.0"
"L1","108.25mm","-38mm","top","90.0"
"C25","115.625mm","-67.125mm","top","180.0"
"J8","186.58mm","-25.9975mm","top","-90.0"
"L2","120.25mm","-38mm","top","90.0"
"C2","131.125mm","-59.625mm","top","0.0"
"L3","131.75mm","-38mm","top","90.0"
"R8","155.25mm","-40.75mm","top","90.0"
"C12","122.25mm","-49mm","top","0.0"
"C19","126.625mm","-55.375mm","top","180.0"
"FB2","126.125mm","-51.875mm","top","-90.0"
"R44","112.875mm","-62.875mm","top","90.0"
"C20","142.5mm","-29.75mm","top","180.0"
"R17","204.25mm","-100.5mm","top","-90.0"
"R28","173.75mm","-85.25mm","top","-90.0"
"C9","128.5mm","-62.25mm","top","-90.0"
"R6","161.5mm","-37.2mm","top","90.0"
"C13","121.125mm","-52.125mm","top","0.0"
