Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,Battery_Cell,SMD
"C1, C19, C2, C3, C7, C8, C9",C_0603_1608Metric,7,100nF/50v,CC0603KRX7R9BB104
"C10, C12, C13, C4",C_0603_1608Metric,4,33nF/50V,CL10B333KB8NNNC
"C11, C16, C17, C20",C_1206_3216Metric,4,680nF/50V,1206B684K500CT
"C14, C15, C18",C_0603_1608Metric,3,330pF/50V,CL10C331JB8NNNC
"C21, C23",C_0805_2012Metric,2,1µF/50v,CL21B105KBFNNNE
C22,C_1206_3216Metric,1,100µF/6.3v,CL31A107MQHNNNE
C24,C_0603_1608Metric,1,220pF/50V,CL10B221KB8NNNC
"C25, C26",C_0603_1608Metric,2,4.7nF/50V,0603B472K500NT
"C27, C28",C_0603_1608Metric,2,470nF/16v,0603B474K160CT
"C29, C30",C_Elec_8x10.2,2,220µF/35v,EEEFK1V221P
C5,C_0603_1608Metric,1,4.7µF/16v,CL10A475KO8NNNC
C6,CP_Elec_4x5.4,1,10µF/6.3v,EEE1CA100SR
D2,LED_0805_2012Metric,1,RUN,NCD0805R1
D3,SOT-23,1,BAT54,"BAT54C,215"
D4,LED_0805_2012Metric,1,PWR2,NCD0805R1
"F1, F2, F3, F4",Fuse_1812_4532Metric,4,2A 30V,BSMD1812-200-30V
"FB1, FB2",L_1206_3216Metric,2,120Ohm@100MHz 4A,HCB3216KF-121T40
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,REEL_RIGHT,
J10,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CREDIT_DISPLAY,
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SPK_R,
J12,IDC-Header_2x05_P2.54mm_Vertical,1,JTAG,
J13,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CASH_LVL,
J14,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,DOOR_SW,
J15,PinSocket_1x04_P2.54mm_Vertical,1,Oled,
J2,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,REEL_CENTRE,
J22,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,BTN_SWITCHES,
J23,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,BTN_LAMPS,
J3,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,REEL_LEFT,
J4,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,LED / VFD,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,LED_STRIP,
J6,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical",1,PSU,
J7,IDC-Header_2x05_P2.54mm_Vertical,1,HOPPER,
J8,IDC-Header_2x05_P2.54mm_Vertical,1,COIN_VALIDATOR,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SPK_L,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,A2,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,A1,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,A0,
"L1, L2, L3, L4",L_SigTra_SC3316F,4,15µH,SSL0804HC-150M-N
"NT1, NT2",NetTie-2_SMD_Pad0.5mm,2,NetTie_2,
Q1,SOT-23,1,SS8050,SOT-23-3
Q2,SOT-23,1,SS8850,SS8550 Y2
Q3,SOIC-18W_7.5x11.6mm_P1.27mm,1,ULN2803ADWR,ULN2803ADWR
"Q4, Q7",SOT-23,2,BSS138,BSS138L
"R1, R10, R11, R12, R13, R14, R15, R16, R18, R2, R27, R9",R_0805_2012Metric,12,4k7,0805
"R17, R25, R3, R30, R32, R36, R38, R41, R45",R_0603_1608Metric,9,10k,0603WAF1002T5E
"R19, R20, R21, R22, R23, R24",R_0805_2012Metric,6,22,0805
"R26, R28, R33, R34",R_0603_1608Metric,4,100,0603WAF1000T5E
R29,R_0603_1608Metric,1,15.0k,0603WAF1502T5E
"R31, R40",R_0805_2012Metric,2,180,0805W8F1800T5E
R35,R_0603_1608Metric,1,18.2k,0603WAF1822T5E
"R37, R39, R42",R_0603_1608Metric,3,18,0603WAF180JT5E
"R4, R5, R7",R_0805_2012Metric,3,100k,0805W8F100KT5E
"R43, R44",R_0603_1608Metric,2,470,0603WAF4700T5E
"R6, R8",R_0805_2012Metric,2,68k,0805
SW1,SW_SPST_Omron_B3FS-100xP,1,RESET,B3FS-1002P
SW2,SW_SPST_Omron_B3FS-100xP,1,BOOT,B3FS-1002P
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D(16M),ESP32-WROOM-32D(16MB)
"U10, U11, U2, U5, U6, U7, U9",SOT-353_SC-70-5,7,SN74LVC1G17,SN74LVC1G17QDBVRQ1
U3,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,1,TAS5731PHP,TAS5731MPHPR
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231M,DS3231MZ+TRL
U8,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017-E_SO,MCP23017-E/SO
