Designator,Mid X,Mid Y,Rotation,Layer
BT1,81.5,-50.0,90.0,top
C1,115.625,-55.375,180.0,top
C10,114.875,-57.75,-90.0,top
C11,108.25,-29.75,0.0,top
C12,122.25,-49.0,0.0,top
C13,121.125,-52.125,0.0,top
C14,117.975,-46.75,0.0,top
C15,131.0,-46.75,180.0,top
C16,122.25,-29.75,180.0,top
C17,129.0,-29.75,0.0,top
C18,130.875,-50.625,180.0,top
C19,126.625,-55.375,180.0,top
C2,131.125,-59.625,0.0,top
C20,142.5,-29.75,180.0,top
C21,202.5,-58.75,0.0,top
C22,197.25,-61.25,-90.0,top
C23,194.75,-59.25,-90.0,top
C24,111.25,-58.5,-90.0,top
C25,115.625,-67.125,180.0,top
C26,114.875,-61.375,90.0,top
C27,114.875,-64.625,90.0,top
C28,111.125,-62.9,90.0,top
C29,105.875,-53.625,180.0,top
C3,131.125,-57.875,0.0,top
C30,138.625,-53.625,0.0,top
C4,127.375,-57.875,90.0,top
C5,121.0,-67.375,-90.0,top
C6,106.0,-62.375,90.0,top
C7,123.375,-67.375,-90.0,top
C8,109.5,-62.0,90.0,top
C9,128.5,-62.25,-90.0,top
D2,210.343,-38.25,180.0,top
D3,164.6875,-37.2,180.0,top
D4,210.5,-43.205,180.0,top
F1,63.75,-82.0,0.0,top
F2,63.75,-76.5,0.0,top
F3,63.75,-65.25,0.0,top
F4,63.75,-70.75,0.0,top
FB1,116.125,-51.875,-90.0,top
FB2,126.125,-51.875,-90.0,top
J1,71.12,-95.25,0.0,top
J10,99.06,-116.2304,0.0,top
J11,134.5,-25.975,0.0,top
J12,178.054,-104.394,180.0,top
J13,169.25,-116.25,0.0,top
J14,178.562,-116.332,0.0,top
J15,152.25,-61.5,90.0,top
J2,71.12,-105.41,0.0,top
J22,116.332,-116.332,0.0,top
J23,145.288,-116.332,0.0,top
J3,71.12,-115.93,0.0,top
J4,95.0,-105.5,0.0,top
J5,189.3824,-116.5352,0.0,top
J6,55.1075,-61.0175,-90.0,top
J7,186.79,-42.4975,-90.0,top
J8,186.58,-25.9975,-90.0,top
J9,114.0,-26.0,0.0,top
L1,108.25,-38.0,90.0,top
L2,120.25,-38.0,90.0,top
L3,131.75,-38.0,90.0,top
L4,143.75,-38.0,90.0,top
Q1,158.25,-37.2,0.0,top
Q2,160.5,-40.8,0.0,top
Q3,158.0,-97.0,0.0,top
Q4,92.5,-85.4375,-90.0,top
Q7,86.75,-85.25,-90.0,top
R1,75.75,-90.75,0.0,top
R10,121.666,-108.712,90.0,top
R11,123.952,-108.712,90.0,top
R12,126.238,-108.712,90.0,top
R13,128.524,-108.712,90.0,top
R14,130.81,-108.712,90.0,top
R15,187.25,-108.75,90.0,top
R16,184.75,-108.75,90.0,top
R17,204.25,-100.5,-90.0,top
R18,137.75,-78.75,180.0,top
R19,150.42,-111.3375,90.0,top
R2,137.75,-80.92,180.0,top
R20,152.96,-111.3375,90.0,top
R21,155.5,-111.3375,90.0,top
R22,157.913,-111.3375,90.0,top
R23,160.453,-111.3375,90.0,top
R24,162.993,-111.3375,90.0,top
R25,201.0,-60.75,180.0,top
R26,176.5,-85.25,-90.0,top
R27,137.75,-76.5,180.0,top
R28,173.75,-85.25,-90.0,top
R29,117.75,-68.75,180.0,top
R3,167.5,-37.0,90.0,top
R30,122.0,-71.75,90.0,top
R31,205.0875,-38.25,0.0,top
R32,92.5,-82.5,180.0,top
R33,179.25,-85.25,-90.0,top
R34,182.0,-85.25,-90.0,top
R35,123.75,-71.75,-90.0,top
R36,92.5,-88.25,0.0,top
R37,122.25,-46.75,0.0,top
R38,86.75,-82.25,180.0,top
R39,127.575,-46.75,180.0,top
R4,155.1875,-37.2,90.0,top
R40,205.09,-43.25,0.0,top
R41,86.75,-88.25,180.0,top
R42,130.125,-53.45,-90.0,top
R43,116.625,-64.625,90.0,top
R44,112.875,-62.875,90.0,top
R45,128.25,-69.0,90.0,top
R5,159.5,-48.8,0.0,top
R6,161.5,-37.2,90.0,top
R7,157.4375,-40.8,90.0,top
R8,155.25,-40.75,90.0,top
R9,119.38,-108.712,90.0,top
SW1,208.25,-52.25,0.0,top
SW2,208.25,-106.75,0.0,top
U1,194.564,-74.676,-90.0,top
U10,104.25,-98.5,-90.0,top
U11,96.75,-98.5,-90.0,top
U2,160.75,-44.75,90.0,top
U3,121.1875,-59.4375,0.0,top
U4,122.0,-80.75,-90.0,top
U5,156.0,-44.75,90.0,top
U6,108.0,-98.5,-90.0,top
U7,100.5,-98.5,-90.0,top
U8,141.75,-92.5,180.0,top
U9,88.0,-122.0,180.0,top
